Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Goalkeeper,Top Scorer,GF by Top Scorer,GF/90,GA/90,GD/90,GF by Top Scorer/90
7, West Ham 2015/2016,38,16,14,8,65,51,14,62,1.63,0,0,0,0,"34,910",Adrián,"Dimitri Payet, AndCarroll ", 9,1.71 ,1.34 ,0.37 ,0.24 
8, Liverpool 2015/2016,38,16,12,10,63,50,13,60,1.58,0,0,0,0,"43,910",Simon Mignolet,Roberto Firmino , 10,1.66 ,1.32 ,0.34 ,0.26 
9, StokCity 2015/2016,38,14,9,15,41,55,-14,51,1.34,0,0,0,0,"27,534",Jack Butland,Marko Arnautovic , 11,1.08 ,1.45 ,-0.37 ,0.29 
10, Chelsea 2015/2016,38,12,14,12,59,53,6,50,1.32,0,0,0,0,"41,500",ThibauCourtois,DiegCosta , 12,1.55 ,1.39 ,0.16 ,0.32 
11, Everton 2015/2016,38,11,14,13,59,55,4,47,1.24,0,0,0,0,"38,124",Tim Howard,Romelu Lukaku , 18,1.55 ,1.45 ,0.11 ,0.47 
12, SwanseCity 2015/2016,38,12,11,15,42,52,-10,47,1.24,0,0,0,0,"20,711",Lukasz Fabianski,André Ayew , 12,1.11 ,1.37 ,-0.26 ,0.32 
13, Watford 2015/2016,38,12,9,17,40,50,-10,45,1.18,0,0,0,0,"20,594",Heurelho Gomes,Odion Ighalo , 15,1.05 ,1.32 ,-0.26 ,0.39 
14, West Brom 2015/2016,38,10,13,15,34,48,-14,43,1.13,0,0,0,0,"24,631",Boaz Myhill,Salomón Rondón , 9,0.89 ,1.26 ,-0.37 ,0.24 
15, Crystal Palace 2015/2016,38,11,9,18,39,51,-12,42,1.11,0,0,0,0,"24,825",Wayne Hennessey,"Scott Dann, YohaCabaye... ", 5,1.03 ,1.34 ,-0.32 ,0.13 
16, Bournemouth 2015/2016,38,11,9,18,45,67,-22,42,1.11,0,0,0,0,"11,189",Artur Boruc,Joshua King , 6,1.18 ,1.76 ,-0.58 ,0.16 
17, Sunderland 2015/2016,38,9,12,17,48,62,-14,39,1.03,0,0,0,0,"43,071",Vito Mannone,Jermain Defoe , 15,1.26 ,1.63 ,-0.37 ,0.39 
